"time","as7.y","add.y"
21440,174823287.2411204,177082021.9468542
21520,174823287.2411204,174349102.2581568
21600,174823287.2411204,173787862.3957714
21600,178367635.6172935,173787862.3957714
21600.00000432003,178367635.6172935,173787862.4092612
21600.00000432003,208367635.6172935,173787862.4092612
21680,208367635.6172935,215428142.7191731
21760,208367635.6172935,211260798.258585
21780,208367635.6172935,210021429.8315543
21780,207973207.4379955,210021429.8315543
21840,207973207.4379955,207742688.4406888
21920,207973207.4379955,207196465.6601669
21960,207973207.4379955,207352602.1287025
21960,209691374.9944139,207352602.1287025
22000,209691374.9944139,208116193.4008598
22080,209691374.9944139,209852297.5901087
22140,209691374.9944139,210135387.7098632
22140,211177936.180975,210135387.7098632
22160,211177936.180975,210254413.5863197
22240,211177936.180975,211492407.2528135
22320,211177936.180975,211701230.2807244
22320,212108730.0755467,211701230.2807244
22400,212108730.0755467,212266889.0612544
22480,212108730.0755467,212489088.3389875
22500,212108730.0755467,212464103.4407766
22500,210688242.9287735,212464103.4407766
22560,210688242.9287735,211468442.3804676
22640,210688242.9287735,210410207.3530422
22680,210688242.9287735,210322040.326495
22680,212882033.9638643,210322040.326495
22720,212882033.9638643,211096517.9516709
22800,212882033.9638643,213132657.3106247
22860,212882033.9638643,213458589.2779975
22860,208192680.7024067,213458589.2779975
22880,208192680.7024067,213015833.9501666
22960,208192680.7024067,208240167.3680001
23040,208192680.7024067,206919487.0107742
23040,209160920.0301114,206919487.0107742
23120,209160920.0301114,208231159.5322737
23200,209160920.0301114,209133382.1931992
23220,209160920.0301114,209210686.8069798
23220,212935207.7832887,209210686.8069798
23280,212935207.7832887,211582401.9339471
23360,212935207.7832887,213978237.867621
23400,212935207.7832887,214084540.2621507
23400,210231936.4739717,214084540.2621507
23440,210231936.4739717,212986872.2600502
23520,210231936.4739717,210168708.1477482
23580,210231936.4739717,209631395.1384771
23580,209371059.9168433,209631395.1384771
23600,209371059.9168433,209553980.6197067
23680,209371059.9168433,208978233.0903149
23760,209371059.9168433,208989206.5783586
23760,209260089.13124,208989206.5783586
23840,209260089.13124,209086260.1044264
23920,209260089.13124,209159248.0427675
23940,209260089.13124,209176160.6313452
23940,210817345.0709781,209176160.6313452
24000,210817345.0709781,210169525.1210229
24080,210817345.0709781,211207070.4392346
24120,210817345.0709781,211267498.4592712
24120,209874380.1337227,211267498.4592712
24160,209874380.1337227,210882838.8530945
24240,209874380.1337227,209876521.4385907
24300,209874380.1337227,209676064.5182891
24300,211526785.6108957,209676064.5182891
24320,211526785.6108957,209821247.1266969
24400,211526785.6108957,211497074.3608176
24480,211526785.6108957,211969765.2840928
24480,213086442.1548036,211969765.2840928
24560,213086442.1548036,213149185.0956642
24640,213086442.1548036,213652693.5859885
24660,213086442.1548036,213628663.9006948
24660,209465668.1541252,213628663.9006948
24720,209465668.1541252,211232923.5364138
24800,209465668.1541252,208671145.3821975
24840,209465668.1541252,208483737.6578711
24840,210900896.7148194,208483737.6578711
24880,210900896.7148194,209096843.4503577
24960,210900896.7148194,210765667.3589842
25020,210900896.7148194,211142412.3245447
25020,210646782.1590216,211142412.3245447
25040,210646782.1590216,211139753.0205142
25120,210646782.1590216,210800909.3299488
25200,210646782.1590216,210635868.9945833
25200,214591866.4459055,210635868.9945833
25200.00000504006,214591866.4459055,210635868.9906871
25200.00000504006,244591866.4459055,210635868.9906871
25280,244591866.4459055,252157340.6523035
25360,244591866.4459055,247812638.9393539
25380,244591866.4459055,246522314.4498292
25380,242283403.7489434,246522314.4498292
25440,242283403.7489434,242943844.548632
25520,242283403.7489434,241061432.1214168
25560,242283403.7489434,241128282.4914534
25560,239401328.1921432,241128282.4914534
25600,239401328.1921432,240440513.2353302
25680,239401328.1921432,238500929.6212974
25740,239401328.1921432,238393074.4633354
25740,237023847.2230471,238393074.4633354
25760,237023847.2230471,238275130.3291085
25840,237023847.2230471,236451138.3499195
25920,237023847.2230471,236166431.768466
25920,243188153.3088419,236166431.768466
26000,243188153.3088419,241869766.9963964
26080,243188153.3088419,244820039.8068217
26100,243188153.3088419,244873735.9707317
